Customer,Arrival_Date,Wait,Service_Start_Date,Service_Time,Service_End_Date
1929,12.995273320725653,1933392.2654662253,1933405.260739546,897.1964538052447,1934302.4571933514
1930,12.999831464285894,1934289.457361887,1934302.4571933514,408.86151834388454,1934711.3187116953
1931,13.005886552224528,1934698.312825143,1934711.3187116953,1050.7819261980715,1935762.1006378934
1932,13.008584003765483,1935749.0920538898,1935762.1006378934,2142.009217299237,1937904.1098551927
1933,13.011889926804432,1937891.0979652659,1937904.1098551927,1607.5419209556483,1939511.6517761485
1934,13.02030440514435,1939498.6314717433,1939511.6517761485,104.1581098229871,1939615.8098859715
1935,13.029381582835711,1939602.7805043887,1939615.8098859715,990.1998236454442,1940606.009709617
1936,13.042003270619016,1940592.9677063462,1940606.009709617,740.6279348255161,1941346.6376444425
1937,13.053402063796716,1941333.5842423786,1941346.6376444425,252.66642693747525,1941599.30407138
1938,13.062139100859827,1941586.2419322792,1941599.30407138,982.4837243256205,1942581.7877957057
1939,13.073754046424016,1942568.7140416594,1942581.7877957057,1419.295239371167,1944001.083035077
1940,13.075038897145077,1943988.0079961799,1944001.083035077,759.4562092948573,1944760.539244372
1941,13.07635533535935,1944747.4628890366,1944760.539244372,498.0674082436657,1945258.6066526156
1942,13.085269119230734,1945245.5213834965,1945258.6066526156,528.1411843903774,1945786.7478370059
1943,13.088684233045193,1945773.6591527727,1945786.7478370059,1528.103283993881,1947314.8511209998
1944,13.090341328541998,1947301.7607796711,1947314.8511209998,34.45646217983313,1947349.3075831796
1945,13.09992657557474,1947336.207656604,1947349.3075831796,711.9674387745638,1948061.2750219542
1946,13.115172658165779,1948048.159849296,1948061.2750219542,317.25631936810146,1948378.5313413222
1947,13.137119391923514,1948365.3942219303,1948378.5313413222,470.1842411887158,1948848.715582511
1948,13.15230074383937,1948835.563281767,1948848.715582511,843.5933013763947,1949692.3088838872
1949,13.152767675818096,1949679.1561162113,1949692.3088838872,280.7854951109056,1949973.0943789983
1950,13.155747352435647,1949959.9386316459,1949973.0943789983,308.8485598817892,1950281.94293888
1951,13.165889594213738,1950268.7770492858,1950281.94293888,857.2218016003335,1951139.1647404805
1952,13.177642528416492,1951125.987097952,1951139.1647404805,2621.0781313651764,1953760.2428718456
1953,13.179626917247893,1953747.0632449284,1953760.2428718456,1289.1391557159845,1955049.3820275615
1954,13.194837072271678,1955036.1871904894,1955049.3820275615,541.1075221417394,1955590.4895497032
1955,13.196536697578061,1955577.2930130055,1955590.4895497032,3433.4439205315507,1959023.9334702347
1956,13.197761216433525,1959010.7357090183,1959023.9334702347,1596.5464487429986,1960620.4799189777
1957,13.198235012522337,1960607.2816839651,1960620.4799189777,3069.573395672318,1963690.05331465
1958,13.204591307917607,1963676.848723342,1963690.05331465,389.71701576606466,1964079.770330416
